iter	Passed	Remaining
0	135	135696
1	137	68544
2	138	46094
3	140	34945
4	140	28043
5	142	23559
6	143	20389
7	145	18000
8	146	16122
9	147	14637
10	149	13461
11	151	12440
12	152	11586
13	153	10836
14	155	10203
15	156	9636
16	158	9155
17	160	8728
18	161	8331
19	162	7979
20	164	7671
21	166	7391
22	168	7141
23	169	6905
24	175	6837
25	177	6635
26	178	6448
27	180	6280
28	182	6113
29	184	5950
30	185	5797
31	187	5657
32	188	5524
33	189	5397
34	191	5275
35	192	5167
36	194	5056
37	195	4954
38	197	4854
39	198	4760
40	199	4667
41	200	4582
42	202	4503
43	203	4423
44	205	4350
45	206	4283
46	207	4216
47	209	4149
48	211	4095
49	212	4032
50	213	3975
51	214	3917
52	216	3862
53	217	3809
54	218	3757
55	220	3713
56	221	3664
57	222	3615
58	223	3568
59	224	3524
60	226	3481
61	227	3438
62	228	3397
63	229	3358
64	230	3321
65	232	3285
66	233	3247
67	233	3204
68	235	3171
69	236	3139
70	237	3106
71	238	3075
72	239	3044
73	241	3019
74	242	2992
75	244	2968
76	245	2941
77	246	2912
78	247	2891
79	249	2866
80	250	2842
81	251	2819
82	253	2795
83	254	2772
84	255	2745
85	256	2724
86	257	2698
87	258	2677
88	260	2662
89	261	2643
90	262	2623
91	263	2603
92	264	2583
93	266	2567
94	267	2547
95	268	2529
96	269	2512
97	271	2497
98	272	2480
99	273	2463
100	275	2448
101	275	2427
102	277	2414
103	278	2399
104	279	2383
105	280	2368
106	281	2352
107	283	2337
108	284	2322
109	285	2308
110	286	2293
111	287	2280
112	288	2265
113	289	2251
114	290	2236
115	291	2221
116	292	2207
117	293	2196
118	295	2185
119	296	2175
120	297	2163
121	298	2151
122	299	2135
123	300	2122
124	301	2111
125	303	2103
126	304	2092
127	305	2079
128	306	2067
129	307	2059
130	308	2049
131	310	2040
132	311	2030
133	312	2021
134	314	2013
135	315	2005
136	317	1998
137	318	1987
138	319	1977
139	320	1968
140	321	1958
141	322	1949
142	323	1941
143	324	1929
144	325	1917
145	325	1905
146	326	1893
147	326	1881
148	327	1869
149	327	1857
150	328	1845
151	329	1835
152	329	1824
153	330	1813
154	330	1802
155	331	1791
156	331	1780
157	332	1769
158	332	1759
159	333	1748
160	333	1738
161	334	1729
162	334	1719
163	335	1709
164	335	1699
165	336	1690
166	336	1680
167	337	1672
168	338	1663
169	339	1655
170	339	1647
171	340	1639
172	341	1631
173	342	1623
174	342	1615
175	343	1607
176	343	1599
177	344	1591
178	345	1583
179	345	1575
180	346	1565
181	346	1557
182	347	1550
183	347	1542
184	348	1535
185	349	1527
186	349	1520
187	350	1513
188	350	1505
189	351	1498
190	352	1491
191	352	1483
192	353	1476
193	353	1469
194	354	1462
195	354	1454
196	355	1447
197	355	1440
198	356	1434
199	356	1427
200	357	1420
201	357	1413
202	358	1407
203	359	1401
204	359	1394
205	360	1388
206	360	1382
207	361	1376
208	361	1370
209	362	1363
210	363	1357
211	363	1351
212	364	1345
213	364	1339
214	365	1333
215	365	1327
216	366	1322
217	366	1316
218	367	1310
219	368	1304
220	368	1299
221	369	1293
222	369	1288
223	370	1282
224	370	1277
225	371	1272
226	371	1266
227	372	1261
228	372	1255
229	373	1250
230	374	1245
231	374	1239
232	375	1234
233	375	1229
234	376	1224
235	376	1219
236	377	1214
237	377	1209
238	378	1204
239	378	1199
240	379	1194
241	379	1189
242	380	1185
243	380	1180
244	382	1177
245	382	1172
246	383	1167
247	383	1163
248	384	1158
249	384	1153
250	385	1149
251	385	1144
252	386	1140
253	386	1136
254	387	1132
255	388	1127
256	388	1123
257	389	1119
258	389	1115
259	390	1111
260	390	1106
261	391	1102
262	391	1098
263	392	1094
264	393	1090
265	393	1086
266	394	1082
267	394	1077
268	395	1073
269	395	1070
270	396	1066
271	396	1062
272	397	1058
273	398	1054
274	398	1050
275	399	1047
276	399	1043
277	400	1039
278	400	1035
279	401	1032
280	401	1028
281	402	1024
282	402	1020
283	403	1017
284	403	1013
285	404	1009
286	404	1005
287	405	1002
288	405	998
289	406	995
290	407	991
291	407	988
292	408	984
293	408	981
294	409	977
295	409	974
296	410	971
297	410	967
298	411	964
299	411	960
300	412	957
301	413	954
302	413	951
303	414	948
304	414	945
305	415	942
306	416	939
307	416	935
308	417	932
309	417	929
310	418	926
